"id","created_at","text","retweet_count","favorite_count"
"1552330249194676227","2022-07-27 16:29:06+00:00","Después de ser el país más peligroso del mundo…  Estamos en camino a ser el país más seguro de América Latina.  Y s… https://t.co/P9ey0EGxQa","1476","6754"
"1552110711148519425","2022-07-27 01:56:45+00:00","Et tu, @VozdeAmerica? https://t.co/hZXwmlumTW","679","3783"
"1552100350857023489","2022-07-27 01:15:34+00:00"," https://t.co/f9gfP6afFi","979","6037"
"1551987549811400706","2022-07-26 17:47:21+00:00","Será interesante ver si los medios de comunicación publicarán cientos de artículos diciendo que El Salvador está re… https://t.co/8QDWRru2vF","959","4829"
"1551987486431354883","2022-07-26 17:47:05+00:00","Y lo haremos al precio de mercado (entendiendo que el precio de mercado probablemente subirá una vez comencemos a c… https://t.co/mDnAo7KeVy","701","3953"
"1551987328909991936","2022-07-26 17:46:28+00:00","Contrario a lo que los medios han estado diciendo todo este tiempo, El Salvador tiene suficiente liquidez, no solo… https://t.co/DIWoLxJSvg","709","3766"
"1551987175926931457","2022-07-26 17:45:51+00:00","Hoy enviamos 2 proyectos de ley a la @AsambleaSV para asegurar los fondos para hacer una oferta de compra transpare… https://t.co/Hie4tjuNjA","1559","7474"
"1551984301272621062","2022-07-26 17:34:26+00:00","It will be interesting to see if the media will publish hundreds of articles saying El Salvador is repurchasing its… https://t.co/wsxggWCNjP","667","3959"
"1551984157743452160","2022-07-26 17:33:52+00:00","And we’ll do it at market price (understanding the market price will probably move upwards once we start buying all… https://t.co/BjJZU16TMc","490","3137"
"1551984049710923778","2022-07-26 17:33:26+00:00","Contrary to what the media has been saying all this time, El Salvador has the liquidity not only to pay all of its… https://t.co/haeQOCSCEL","505","2830"
"1551983886212775936","2022-07-26 17:32:47+00:00","Today we are sending 2 bills to Congress to ensure that we have the available funds to make a transparent, public a… https://t.co/EnbW6jMIgg","1190","6403"
"1551813465655975936","2022-07-26 06:15:36+00:00","0 homicidios.  Seguimos…  #GuerraContraPandillas https://t.co/iFNA0fM27p","789","5081"
"1551755924280414209","2022-07-26 02:26:57+00:00","RT @stacyherbert: Everyone who comes to El Salvador, falls in love with the country  Thus proving a thousand headlines wrong  ","381","0"
"1551321663677120512","2022-07-24 21:41:21+00:00","RT @SalomonCartoon: https://t.co/68lbToQOLu","970","0"
"1551220013591404544","2022-07-24 14:57:26+00:00","¡Lo estamos logrando El Salvador!  8 días consecutivos sin homicidios.  Seguimos…  #GuerraContraPandillas https://t.co/m8cM5zOCtW","1405","9534"
"1551047502631260161","2022-07-24 03:31:56+00:00","¿Y tú qué querés, menú? https://t.co/Q4p4DBu7bP","1749","20239"
"1551029486778474505","2022-07-24 02:20:21+00:00"," https://t.co/IR6eWDI89m","513","3687"
"1551026217163309057","2022-07-24 02:07:21+00:00"," https://t.co/WxQHt1zwYr","822","5747"
"1550932270571192320","2022-07-23 19:54:02+00:00","RT @Dannocean: @Guaynaa_ Te lo dije","181","0"
"1550932264766283777","2022-07-23 19:54:01+00:00","RT @Guaynaa_: Enamorado de El Salvador,  mañana montaña  o playita ?","648","0"
